,correction,RID,smiles
72,,R1434,*c1ccc(C(C)=NCCCN=C(C)c2ccc(*)cc2)cc1
72,,R2178,*NC(=*)c1cccc(C(*)=*)c1
73,,R1435,*c1ccc(C(C)=NCCCCCCN=C(C)c2ccc(*)cc2)cc1
73,,R2179,*NC(=*)c1ccc(C(*)=*)cc1
74,,R1442,*NC=Nc1ccc(*)cc1
74,,R2181,*N=C(N*)c1ccccc1
75,,R2182,*N=C(C)N*
76,,R1448,*c1ccc(N=Cc2ccc(*)cc2O)c(*)c1
76,,R2197,*N=Nc1cccc(*)c1
77,,R1457,*c1ccc(N=Cc2ccccc2*)cc1
77,,R2202,*C1C=CC(=N)C(N2CCN(*)CC2)=C1
78,,R2241,*N=c1c(=Nc2ccc(*)cc2)c2cccc3cccc1c32
79,,R1467,*c1ccc(C(C)=Nc2cccc(N=C(C)c3ccc(*)cc3)c2)cc1
79,,R2243,*N=NNc1ccc(NN=Nc2ccc(*)cc2)cc1
80,,R1468,*c1ccc(C(C)=NCCN=C(C)c2ccc(*)cc2)cc1
80,,R2248,*c1cc(C)c(N=Nc2ccc(Cl)cc2)c(C)c1
81,,R2391,*ONc1ccc(*)s1
82,,R1489,*C=Nc1ccc(N=Cc2ccc(*)o2)cc1
82,,R2392,*ONc1ccc(*)cc1
83,,R1494,*C=Nc1cccc(N=Cc2ccc(*)o2)c1
83,,R2396,*NO*
84,,R1495,*C=Nc1ccc(*)cc1
84,,R2415,*CNCN*
85,,R1496,*c1ccc(N=Cc2ccc(*)o2)cc1
85,,R2416,*CNCO*
86,,R1497,*C=Nc1ccc(*)cc1C
86,,R2422,*CNO*
87,,R1498,*c1ccc(N=Cc2ccc(*)o2)c(C)c1
87,,R2424,*CNON*
88,,R1499,*C=Nc1ccc(*)cc1*
88,,R2427,*CONO*
89,,R1500,*c1ccc(N=Cc2ccc(*)o2)c(*)c1
89,,R2445,*NCOCO*
90,,R1501,*C=NCCN=Cc1ccc(*)o1
90,,R2460,*NC(*)(F)F
91,,R1502,*C=NCCCCCCN=Cc1ccc(*)o1
91,,R2461,*NC(F)(F)NC(*)(F)F
92,,R1503,*C=Nc1ccccc1N=Cc1ccc(*)o1
92,,R2462,*OC(F)(F)NC(*)(F)F
93,,R1522,*C=Nc1cc(*)ccc1C
93,,R2521,*=Cc1ccc(N=*)cc1
94,,R1560,*c1ccc(C=NCCN=Cc2ccc(*)cc2)cc1
94,,R2544,*CCCCCCNO*
95,,R1561,*c1ccc(C=NCCCCN=Cc2ccc(*)cc2)cc1
96,,R1562,*c1ccc(C=NCCCCCCN=Cc2ccc(*)cc2)cc1
97,,R1563,*c1ccc(C=NCCCCCCCCCCN=Cc2ccc(*)cc2)cc1
97,,R2678,*c1cc(*)c(N=*)c(*)c1
98,,R1564,*c1ccc(C=NCCCCCCCCCCCCN=Cc2ccc(*)cc2)cc1
98,,R2723,*c1cccc(N=*)c1
99,,R1566,*c1ccc(C=Nc2ccc(*)c(F)c2)cc1
99,,R2725,*c1ccc(N=*)cc1
100,,R1567,*c1ccc(C=Nc2ccc(*)c(Cl)c2)cc1
100,,R2746,*=C=N[SH]=*
103,,R1582,*c1ccc(C=Nc2ccccc2)cc1*
103,,R2786,*NC(=*)NC
104,,R1585,*c1ccc(C=Nc2ccc(C)cc2)cc1*
104,,R2787,*NC(=*)N*
105,,R1596,*c1ccc(C=Nc2nc(*)cs2)cc1
105,,R2790,*=CC=NN=*
106,,R1597,*c1csc(N=Cc2ccc(*)c(*)c2)n1
106,,R2798,*NC=*
107,,R1608,*c1ccc(C=Nc2ccccc2*)cc1*
107,,R2799,*c1cccc2c(N=*)cccc12
108,,R1609,*c1ccc(N=Cc2ccc(*)s2)cc1
108,,R2802,*NC(=*)CC
109,,R1610,*c1ccc(N=Cc2ccc3c(c2)c2cc(*)ccc2n3*)cc1
109,,R2803,*NC(=*)CCC
110,,R1611,*c1ccc(N=Cc2cc(*)c(C=*)cc2*)cc1
110,,R2804,*NC(=*)CCCC
111,,R1612,*c1ccc(N=Cc2cc(*)c(C=Nc3ccc(*)cc3)cc2*)cc1
111,,R2805,*NC(=*)c1ccccc1
112,,R1660,*c1ccc(C=Nc2cccc(N=Cc3ccc(*)cc3)c2)cc1
114,,R1696,*N=Cc1ccc(C=Nc2sc(*)c(C#N)c2C#N)cc1
115,,R1714,*c1csc(N=CC(=*)C)n1
116,,R1724,*c1ccc2c(c1)c1cc(N=Cc3ccc(*)s3)ccc1n2*
117,,R1751,*C1CC(=NC)C(*)CC1=NC
118,,R1752,*C1CC(=NCCCCCCCCCCCCCCCCCC)C(*)CC1=NCCCCCCCCCCCCCCCCCC
119,,R1791,*c1ccccc1C=Nc1ccc(N=Cc2ccccc2*)cc1
120,,R1813,*c1ccc(C=NC2CCC(*)CC2)cc1
121,,R3072,*c1ccc(N=Nc2ccc([N+](=O)[O-])cc2)cc1
124,,R3075,*CC(*)C[N-][N+]#N
126,,R3079,*c1ccc(N=*)c(*)c1
127,,R3080,*N[Si](*)(C)C
129,,R3107,*[N+](*)(C)C
132,,R3119,*[N+](*)(*)C
133,,R3124,*[N+](C)(C)C
135,,R3126,*c1ccc(N=Nc2ccc([N+](=O)[O-])c3ccccc23)cc1
136,,R3128,*c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1
137,,R3130,*n1c2ccccc2c2cc(N=Nc3ccc([N+](=O)[O-])cc3)ccc21
138,,R3131,*c1ccc(N=Nc2nc3ccc([N+](=O)[O-])cc3s2)cc1
140,,R3133,*n1c2ccccc2c2cc(N=Nc3ccc([N+](=O)[O-])cc3[N+](=O)[O-])ccc21
141,,R3138,*CC(C*)(C[N-][N+]#N)C[N-][N+]#N
142,,R3141,*c1ccc(*)c([N-][N+]#N)c1
144,,R3146,*c1ccc(N=Nc2ccc(N=Nc3cc(C)c([N+](=O)[O-])c(C)c3)cc2)cc1
145,,R3151,*c1ccc(N=Nc2ccc([N+](=O)[O-])cc2C)cc1
146,,R1922,*c1ccc(N=CC=Nc2ccc(*)cc2)cc1
147,,R1923,*c1ccc(N=CCCCC=Nc2ccc(*)cc2)cc1
147,,R3154,*c1ccc2c(c1)c(N=Nc1ccc([N+](=O)[O-])cc1*)cn2*
148,,R3155,*c1cc([N+](=O)[O-])ccc1N=Nc1cn(*)c2ccccc12
149,,R3156,*N=[SH]*
153,,R3169,*c1ccc([Si](*)(C)N(C)C)s1
154,,R3170,*c1ccc([Si](C)(C)c2ccc([Si](*)(C)N(C)C)s2)s1
157,,R3178,*c1ccc(N=Nc2ccc(*)c([N+](=O)[O-])c2)cc1
158,,R3179,*c1ccc(N=Nc2c(C)cc(*)c([N+](=O)[O-])c2C)cc1
164,,R3188,*c1ccc(N=Nc2ccc([N+](=O)[O-])cc2)c(C)c1
165,,R3189,*c1ccc(N=Nc2ccc([N+](=O)[O-])cc2C)c(C)c1
166,,R3191,*c1ccc(N=Nc2cc(*)c(N=Nc3ccc([N+](=O)[O-])cc3)cc2*)cc1
167,,R3192,*c1ccc(N=Nc2ccc(N=Nc3cc(*)c(N=Nc4ccc([N+](=O)[O-])cc4)cc3*)c(C)c2)cc1
168,,R3193,*c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)c(C)c1
169,,R3197,*c1ccc(N=Nc2ccc(N=Nc3ccc([N+](=O)[O-])cc3)cc2)cc1
170,,R3198,*CC=CN(*)C=CC*
171,,R3199,*c1ccc(N=Nc2ccc([N+](=O)[O-])cc2)c(*)c1
172,,R3202,*c1ccc(N=Nc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1
173,,R3208,*c1ccc(N=*)c(C)c1
174,,R3210,*N(C)[Si](*)(C)C=C
175,,R3211,*N(C)[Si](*)(C)C
176,,R3212,*N(C)[Si](C)(C)N(C)[Si](*)(C)CC
177,,R3213,*N(CCC)[Si](C)(C)C[Si](*)(C)C
178,,R3214,*N(C)[Si](C)(C=C)N(C)[Si](*)(C)C
179,,R3216,*N=C(*)c1cccnc1
180,,R3221,*=CC#C[Si](C#CC=NN=*)(c1ccccc1)c1ccccc1
181,,R3225,*CCN[Si](C)(C)N*
184,,R3248,*c1cc(C)c(N=Nc2ccc([N+](=O)[O-])cc2)c(C)c1
185,,R3249,*c1cc(C)c(N=Nc2ccc([N+](=O)[O-])cc2C)c(C)c1
186,,R3312,*c1ccc([Si](*)(C)N(C)C)cc1
188,,R3321,*C#Cc1cc(C#Cc2cc(N)c(*)cc2[N+](=O)[O-])c(*)cc1*
189,,R3330,*CN(*)C
197,,R2022,*c1ccc(C=Nc2ccc(N=Nc3ccccc3)cc2)cc1
204,,R2033,*c1ccc(C=Nc2c(C)c(C)c(*)c(C)c2C)cc1
205,,R2034,*c1ccc(N=C2C=CC(=Nc3ccc(*)cc3)C=C2)cc1
208,,R2061,*C=Nc1ccc(N=Cc2cccc(*)n2)cc1
209,,R2062,*C=Nc1cccc(N=Cc2cccc(*)n2)c1
210,,R2064,*C(=NCCCC)N(*)*
211,,R2065,*C(=NCCCCCC)N(*)*
212,,R2066,*C(=Nc1ccccc1)N(*)*
213,,R2067,*C(=NCC)N(*)*
214,,R2068,*C(=NCC=C)N(*)*
218,,R2093,*N=C1c2ccccc2C(=Nc2ccc(*)cc2)c2ccccc21
219,,R2094,*N=C1c2ccccc2C(=Nc2ccc(*)cc2)c2ccc(*)cc21
226,,R2139,*NC=Nc1ccc(S(*)(=O)=O)cc1
232,,R2305,*C(=Nc1ccccc1)c1ccc(*)cc1
235,,R2346,*c1cc(*)c(*)c(C=Nc2ccc(C)cc2)c1
236,,R2348,*c1cc(C=Nc2cccc(C)c2)cc(*)c1O
250,,R2518,*c1cc(C=Nc2ccc(N=*)c(*)c2)c(*)cc1C=*
251,,R2519,*c1cc(C=Nc2ccc(N=*)cc2)c(*)cc1C=*
252,,R2520,*=Cc1ccc(C=Nc2ccc(C=*)cc2)cc1
253,,R2522,*=Cc1ccc(C=Nc2ccc(N=*)c(C)c2)cc1
254,,R2523,*c1cc(N=Cc2ccc(C=*)cc2)ccc1N=*
255,,R2524,*=Cc1ccc(C=Nc2ccc(N=*)cc2)cc1
267,,R2677,*c1cc(*)c(N=Cc2ccc(C=*)cc2)c(*)c1
280,,R2780,*c1ccc(C=Nc2cc(C)c(*)cc2C)s1
281,,R2781,*c1ccc(C=Nc2cc(C)c(*)cc2C)cc1*
282,,R2782,*c1ccc(C=Nc2cc(C)c(*)cc2C)cc1
283,,R2783,*c1ccc(N=C=*)cc1
284,,R2789,*c1ccc(N=Cc2ccc(C=*)cc2)cc1
285,,R2791,*c1cc(C=Nc2ccc(C=*)cc2)c(*)cc1C=*
286,,R2792,*=Cc1ccc(C=Nc2cccc3c(N=*)cccc23)cc1
287,,R2793,*c1cc(C=Nc2cccc3c(N=*)cccc23)c(*)cc1C=*
288,,R2794,*=CC=Nc1ccc(N=*)cc1
289,,R2795,*=Nc1ccc(N=C(C)C(=*)C)cc1
290,,R2796,*=Nc1ccc(N=C(CC)C(=*)CC)cc1
291,,R2797,*=Nc1ccc(N=C(CCC)C(=*)CCC)cc1
292,,R2800,*c1ccc(N=Cc2ccc(C#CC#Cc3ccc(C=*)cc3)cc2)cc1
293,,R2806,*NC(C)=Nc1ccc(N=*)cc1
294,,R2807,*NC(C)=Nc1ccc(*)cc1
297,,R2812,*=Nc1ccc(N=C(c2ccccc2)c2ccc(C(=*)c3ccccc3)cc2)cc1
298,,R2813,*=Nc1cccc(N=C(c2ccccc2)c2ccc(C(=*)c3ccccc3)cc2)c1
299,,R2814,*=Nc1cc(N=C(c2ccccc2)c2ccc(C(=*)c3ccccc3)cc2)ccc1N=Nc1cccc2ccccc12
300,,R2815,*=CC(=Nc1ccc(N=*)cc1)c1ccccc1
301,,R2817,*=CC(=Nc1cccc(N=*)c1)c1ccccc1
302,,R2818,*=CC(=Nc1ccc(N=Nc2cccc3ccccc23)c(N=*)c1)c1ccccc1
306,,R2822,*c1ccc(C=Nc2ccc(N=*)cc2)cc1
317,,R3078,*c1ccc(N=C=*)c(*)c1
323,,R3204,*=C=NC1CC1N=*
324,,R3205,*=C=Nc1ccc(C)c(N=*)c1
325,,R3206,*=C=Nc1ccc(N=*)c2ccccc12
326,,R3207,*c1ccc(N=C=*)c(C)c1
328,,R3215,*c1ccc(N=C2C=CC(=*)C=C2)cc1
329,,R3217,*=Nc1ccc(N=C(C)c2ccc(C(=*)C)cc2)cc1
332,,R3222,*=CC#C[Si](C#CC=Nc1ccc(N=*)cc1)(c1ccccc1)c1ccccc1
333,,,*[NH+](*)*
334,,,*N(*)*
335,,,*CN(*)*
336,,,*[N+](*)(*)*
337,,,*CCN
338,,,*c1nc(*)nc(N)n1
339,,,*N*
340,,,*c1nnc(*)n1N
341,,,*CN
342,,,*CN*
343,,,*c1cccc(*)c1N
344,,,*c1ccc(N=Nc2ccc(*)c3ccccc23)cc1
345,,,*c1ccc(*)c(N)c1
