,correction,RID,smiles
76,,R0000002630,*c1cc2c(cc1*)C1(CC(C)(C)c3cc4oc5c(C#N)c6oc7cc8c(cc7oc6c(C#N)c5oc4cc31)C(C)(C)CC1(CC(C)(C)c3cc4oc5c(C#N)c6oc7cc9c(cc7oc6c(C#N)c5oc4cc3O1)C(C)(C)CC1(CC(C)(C)c3cc4oc5c(C#N)c6oc7cc%10c(cc7oc6c(C#N)c5oc4cc3O1)C(C)(C)CC1(CC(C)(C)c3cc4c(cc3O1)Oc1c(C#N)c(*)c(*)c(C#N)c1O4)O%10)O9)O8)C(C)(C)C2
77,,R0000002632,*c1cc2c(cc1*)C1(CC2(C)CC)c2cc3c(cc2C(C)(CC)C1C)Cc1c(C#N)c(*)c(*)c(C#N)c1C3
78,,R0000002633,*c1cc2c(cc1*)C1(C)CCC2(C)c2cc3oc4c(C#N)c5oc6cc7c(cc6oc5c(C#N)c4oc3cc21)C(C)(C)CC1(CC(C)(C)c2cc3c(cc2O1)Oc1c(C#N)c(*)c(*)c(C#N)c1O3)O7
79,,R0000002634,*c1cc2c(c(Br)c1*)C(C)(C)CC21CC(C)(C)c2cc3oc4c(C#N)c5oc6cc7c(cc6oc5c(C#N)c4oc3c(Br)c21)OC1(CC(C)(C)c2cc3c(cc2O1)Oc1c(C#N)c(*)c(*)c(C#N)c1O3)CC7(C)C
80,,R0000002635,*c1cc2c(cc1*)C1(c3cc4oc5c(C#N)c6oc7cc8c(cc7oc6c(C#N)c5oc4cc3C(C)(CC)C1C)OC1(CC(C)(C)c3cc4c(cc3O1)Oc1c(C#N)c(*)c(*)c(C#N)c1O4)CC8(C)C)C(*)(C)C2
81,,R0000002640,*c1cc2c(cc1*)C1(c3ccccc3-2)c2ccccc2-c2cc3c(cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O3
82,,R0000002713,*C=CC1CC(*)C(C#N)([Si](C)(C)C)C1
83,,R0000002714,*C=CC1CC(*)C(C#N)([Si](C)(C)O[Si](C)(C)C)C1
84,,R0000002715,*C=CC1CC(*)C(C#N)([Si](C)(C)O[Si](C)(C)O[Si](C)(C)C)C1
85,,R0000002717,*C=CC1CC(*)C(C#N)([Si](C)(C)[Si](C)(C)C)C1
86,,R0000002823,*CCCCCC#N
87,,R0000002954,*CC(C)(C)C#N
88,,R0000002956,*CC(C#N)CCCCC
89,,R0000002957,*CC(C#N)CCCC
90,sulfur SCN,R0000002958,*SC#N
91,,R0000002994,*CC(C#N)CC
92,,R0000002995,*C(C)(C)C#N
93,,R0000003013,*CC(*)(*)C#N
94,,R0000003040,*c1cc2c(cc1*)C1(C)c3cc4c(cc3C2(C)c2cc3cc5c(cc3cc21)C(C)(C)CCC5(C)C)Oc1c(C#N)c(*)c(*)c(C#N)c1O4
95,,R0000003041,*c1cc2c(cc1*)C1(c3cc4c(cc3-c3cc5c(cc31)C(C)(C)CCC5(C)C)Oc1c(C#N)c(*)c(*)c(C#N)c1O4)c1cc3c(cc1-2)C(C)(C)CCC3(C)C
96,,R0000003044,*c1ccc2c(c1)Oc1c(C#N)c(*)c(*)c(C#N)c1O2
97,,R0000003051,*c1cc2c(cc1*)C1(C)c3cc4c(cc3C2(C)c2cc3ccccc3cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O4
98,,R0000003052,*c1cc2c(cc1*)C1(C)c3cc4c(cc3C2(C)c2cc3cc5c(cc3cc21)C(C)(C)C(C)(C)C5(C)C)Oc1c(C#N)c(*)c(*)c(C#N)c1O4
99,,R0000003053,*c1ccc2cc3c(cc2c1)C1(C)c2cc(*)c(*)cc2C3(C)c2cc3c(cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O3
100,,R0000003054,*c1cc(*)c2cc3c(cc2c1)C1(C)c2cc(*)c(*)cc2C3(C)c2cc3c(cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O3
101,,R0000003055,*c1cc2c(cc1*)C1(C)c3cc4c(cc3C2(C)c2cc3cc(C)c(C)cc3cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O4
102,,R0000003093,*c1ccc(C#N)cc1C
103,NOOH,R0000003134,*=C(C#N)c1ccc([N+](=O)[O-])cc1
104,NOOH,R0000003203,*c1ccc(N=Nc2ccc([N+](=O)[O-])cc2C#N)cc1
105,,R0000003256,*O[Si](*)(C)CCC#N
106,,R0000003308,*c1ccc2cc(C#N)ccc2c1
107,,R0000003309,*=Cc1ccc(C#N)cc1
