,,,RID,smiles
214,,,R941,*c1c(F)c(F)c(P(=O)(O)O)c(F)c1F
233,,,R1063,*CC(*)P(=O)(O)O
251,,,R1165,*NCP(=O)(O)O
398,,,R1986,*c1cccc(P(=O)(O)O)c1
440,,,R2158,*C1CN(CP(=O)(O)O)CC1*
441,,,R2159,*C1CN(C(P(=O)(O)O)P(=O)(O)O)CC1*
481,,,R2365,*C(F)(F)C(*)(F)C(F)(F)P(=O)(O)O

