,RID,smiles
543,R0000002366,*c1ccc2c(*)c(*)c(*)c(*)c2c1
544,R0000002367,*c1ccc(C#Cc2ccccc2)c(C#Cc2ccccc2)c1
545,R0000002368,*c1c(*)c(*)c2cc(C3(c4ccc(C#Cc5ccccc5)c(C#Cc5ccccc5)c4)c4ccccc4-c4ccccc43)ccc2c1*
546,R0000002373,*c1c(*)c2ccccc2c2ccccc12
547,R0000002374,*c1ccc2ccc3c(*)cc(C#C)c4ccc1c2c34
548,R0000002375,*c1ccc2ccc3c(*)cc(C#CC=C)c4ccc1c2c34
549,R0000002376,*CC(*)CC(*)CC(*)CC(*)*
550,R0000002377,*CC(*)CC(*)CC(*)*
551,R0000002483,*C1C2CC3CC(C2)CC1C3
552,R0000002502,*C1(C)CC(C)(C)C(*)(C)C1C
553,R0000002512,*CCCCC(=*)C(=C=C=*)CCCC*
554,R0000002513,*CCCC(=*)C(=C=C=*)CCC*
555,R0000002533,*C1CC(C)(C)CCC1C
556,R0000002535,*CC1=CCC(*)CC1
557,R0000002542,*CCCCC(C*)CC
558,R0000002567,*c1cccc(C)c1*
559,R0000002568,*c1c(C)ccc(C)c1*
560,R0000002569,*c1cc(C)c(C)c(*)c1C
561,R0000002588,*c1cccc2c(*)c(C)ccc12
562,R0000002592,*C(=*)c1cccc(*)c1
563,R0000002596,*C(=*)c1ccc2c(c1)C(C)(C)c1ccccc1-2
564,R0000002603,*C(=*)c1ccc2c(c1)C1(CC1)c1ccccc1-2
565,R0000002606,*C(=*)CCCCCC
566,R0000002608,*c1c2c(c(*)c3c1C1c4ccccc4C3c3ccccc31)C1c3ccccc3C2c2ccccc21
567,R0000002609,*c1ccc(*)c2c1C1c3ccccc3C2c2ccccc21
568,R0000002616,*c1cc2ccccc2c(*)c1*
569,R0000002655,*CC(=*)C(=C=C=*)C*
570,R0000002665,*C=CC=C*
571,R0000002706,*C=C(*)c1ccc2ccccc2c1
572,R0000002709,*C=C(*)c1c(C)cc(*)cc1C
573,R0000002735,*C(C)CCCCC(*)C
574,R0000002809,*c1c(C)c(C)c(C)c(C)c1C
575,R0000002816,*=CC(=*)c1ccccc1
576,R0000002946,*C=CCC(C)C*
577,R0000002947,*C=CCCC(C)C*
578,R0000002948,*C=CC(*)*
579,R0000002949,*c1cc(C)c2cc(*)ccc2c1
580,R0000002959,*C1C=C(C)C=CC1
581,R0000002962,*CC(*)(CCCCCC)CCCCCCCCCC
582,R0000002963,*CC(*)C1=CC(*)CC=C1
583,R0000002969,*CC(=*)CCCC
584,R0000002980,*CC(C)CC(C)(C)C*
585,R0000002981,*CCCC(C)CC(C)(C)C*
586,R0000002982,*CCCC(C)(C)CC(C)C*
587,R0000002985,*c1c2cccccc3ccccccc=3c(*)cc1-2
588,R0000002998,*C(*)C(*)C(C)(C)C
589,R0000003010,*CCC(*)=C
590,R0000003015,*C1CC1(*)*
591,R0000003019,*CC(C)C=C*C
592,R0000003035,*C1CCC(C=*)C1
593,R0000003043,*C1(*)C2CCC3CC(CC2)CC1C3
594,R0000003048,*c1ccc2c(c1)C1c3ccccc3C2c2cc(*)ccc21
595,R0000003049,*c1ccc2c(c1)C1c3ccc(*)cc3C2c2cc3ccccc3cc21
596,R0000003097,*CC#CC(=*)C(=C=C=*)C*
597,R0000003109,*CCC(=*)C(=C=C=*)CC*
598,R0000003111,*=C(C1=CC(=*)c2ccccc21)c1ccccc1
599,R0000003115,*C=CC(C*)C*
600,R0000003123,*CCC(*)=*
601,R0000003136,*=C1CCCCC1=*
602,R0000003137,*=C1C(=*)C2(C)CCC1C2(C)C
603,R0000003150,*c1ccc(C=*)c(*)c1
604,R0000003315,*=CCCC(=*)C
605,R0000003320,*C=Cc1ccc(C=*)cc1*
606,R0000003324,*=c1cc2ccc3cc(=c4c5ccccc5c(=*)c5ccccc45)cc4ccc(c1)c2c34
7,,*CCCCCCCCC(*)C(*)*
14,,*c1ccc(*)c(*)c1*
30,,*C1CCCCCCCCC1
39,,*C(=*)CCCCCCCCCC
63,,*CCCCCCCCCCCCCCC*
68,,*c1cc(*)c(*)cc1*
69,,*CCCCCCCCCCCCCC*
75,,*CC(C*)CCCCCCCCCCCC
87,,*CCCCCCCC*
89,,*CC(C*)CCCCCCCC
110,,*CCCCCCCCCCCCCCCCCCC
142,,*CCCCCCCCCC(*)C*
145,,*C(C)CCCCCCCCCCCC
146,,*CCCCCCCCCCCCCCCCCCCCCC*
153,,*C(CCCCCCCC)CCCCCCCC
164,,*CCCCCCCCCCCCCCCCCCCCCC
168,,*CCCCCCCCCCCCC
192,,*CCCCCCCCC*
193,,*c1cc2ccccc2c2ccccc12
203,,*C(C)CCCCCC
204,,*CCCCCCCCC(C*)C*
209,,*CCCCCCC*
223,,*c1ccc(C(=*)c2ccc(*)cc2)cc1
234,,*CCCCCCCCCCCCCCCCCCCC*
238,,*C(*)CCCCCCCCCCC
240,,*CC(*)CCCCCC
243,,*C(C)CCCCCCCC
245,,*C(CCCCCCC)CCCCCCC
250,,*CCCCCCCCCCCCCCC
258,,*CCCCCCCCCCCCC*
263,,*C1CCCCCCC1
266,,*CCCCCCCCCCCCCCCCC
274,,*CCCCCCCCCCCCCCCC*
281,,*CC(CCCCCC)C(C*)CCCCCC
293,,*CCCCCCCCCCCCC(*)C
302,,*=Cc1ccc2c(c1)C(CCCCCCCC)(CCCCCCCC)c1cc(C=*)ccc1-2
317,,*CCCCCCCCCCCC*
320,,*CCCCCCCCC(*)C*
322,,*CCCCCCCCCCC*
324,,*CCCCCCCCCCC
330,,*CCCCCCCCCCCCCCCCCCCCC(*)C*
340,,*=Cc1ccc(C#Cc2ccccc2)cc1
349,,*CCCCCCCCCCC(C*)C*
358,,*c1ccc([Si](*)(C)c2ccc(*)cc2)cc1
360,,*CCCCCCCCCCCCCCCCCC*
373,,*C(=*)CCCCCCCC
