,RID,smiles
154,R0000000348,*=CCCCCCCCC
155,R0000000349,*C1CCC2(C)C(=CCC3C2CCC2(C)C(*)CCC32)C1
156,R0000000350,*C(C)CCCC(C)C
157,R0000000351,*C1CCCCCCCCCCC1
158,R0000000390,*C=CC(C)C*
159,R0000000391,*CCC(=*)C
160,R0000000392,*C=CC(C*)CC
161,R0000000393,*C=CC(C*)CCC
162,R0000000394,*C1C=CC(*)CC1
163,R0000000395,*CC(*)=C
164,R0000000396,*CC(*)C=C
165,R0000000397,*CC(*)C=*
166,R0000000398,*=CC
167,R0000000399,*=C(C)C
168,R0000000400,*C=CC(C)C(*)C
169,R0000000401,*C=CC(C)(C)C(*)(C)C
170,R0000000403,*CC(C)C=*
171,R0000000404,*C=CC=*
172,R0000000405,*C1C=CC(*)C1
173,R0000000408,*C(*)(C)C
174,R0000000409,*C(*)CCC
175,R0000000410,*C(*)C(C)C
176,R0000000412,*C(*)CCCC
177,R0000000419,*C(C)C(*)C
178,R0000000420,*C(C)C(*)(C)C
179,R0000000421,*C(C)(C)C(*)(C)C
180,R0000000423,*CC(C)(C)C*
181,R0000000425,*CC(C*)(C*)C*
182,R0000000429,*c1cc(C)c(*)c(C)c1
183,R0000000430,*c1cc(*)c(*)c(C)c1
184,R0000000431,*C(C)CCC
185,R0000000432,*C(C)CCCC
186,R0000000433,*c1cc(*)c(*)c(*)c1
187,R0000000434,*C1C(C)(C)C(*)C1(C)C
188,R0000000442,*c1cc(C)c(*)cc1C
189,R0000000454,*C(*)CCCCCC
190,R0000000463,*C(*)(C)CC
191,R0000000472,*CC(C)C*
192,R0000000478,*CC1(C*)c2ccccc2-c2ccccc21
193,R0000000479,*C(C)CC(*)(C)C
194,R0000000484,*c1ccc(*)c(C)c1
195,R0000000485,*C1CCC(*)(C)C(*)C1
196,R0000000490,*C(*)(*)C
197,R0000000491,*c1ccc(C=*)cc1
198,R0000000492,*c1ccc(C(=*)C)cc1
199,R0000000493,*C1CCCCC1*
200,R0000000494,*C1CCC(*)(C)CC1
201,R0000000495,*c1ccc(C2(C)CC(C)(C)c3cc(*)ccc32)cc1
202,R0000000496,*C1CCCC(*)(*)C1
203,R0000000499,*c1c(C)c(C)c(*)c(C)c1C
204,R0000000510,*C1CCCC(*)C1
205,R0000000511,*C(*)(*)*
206,R0000000512,*C1(*)CC2CCC1C2
207,R0000000516,*CC(C*)(CC)CC
208,R0000000518,*C(*)CCCCCCCC
209,R0000000519,*C1(*)CC=CCC1
210,R0000000520,*C1(*)CC=C(C)CC1
211,R0000000521,*C1CC1*
212,R0000000522,*c1ccc(*)c2ccccc12
213,R0000000533,*CC#CC#CC*
214,R0000000535,*c1cc(*)cc(*)c1
215,R0000000540,*c1c(C)cccc1C
216,R0000000542,*CC(C*)C(C)(C)C
217,R0000000543,*CC(C)(C*)CC
218,R0000000550,*C(*)C(*)*
219,R0000000558,*c1cccc2c(*)cccc12
220,R0000000559,*c1cc2ccccc2cc1*
221,R0000000560,*c1ccc2cc(*)ccc2c1
222,R0000000561,*c1ccc2ccc(*)cc2c1
223,R0000000563,*=Cc1ccc(C=*)cc1
224,R0000000565,*c1ccc(C2(c3ccc(*)cc3)c3ccccc3-c3ccccc32)cc1
225,R0000000567,*c1c(*)c(*)c(*)c(*)c1*
226,R0000000570,*c1cccc(*)c1*
227,R0000000597,*CC#CC*
228,R0000000599,*C(C)CCC(*)C
229,R0000000601,*CC(C)C(C)C*
230,R0000000602,*CC(CC)C(C*)CC
231,R0000000603,*CC(CCC)C(C*)CCC
232,R0000000604,*CC(CCCC)C(C*)CCCC
233,R0000000605,*CC(CCCCCCCCCC)C(C*)CCCCCCCCCC
234,R0000000606,*CC(CCCCCCCCCCCCCCCC)C(C*)CCCCCCCCCCCCCCCC
235,R0000000607,*CC(C(C)C)C(C*)C(C)C
236,R0000000608,*CCC(C)CC
237,R0000000609,*C1CC2CCC1C2
238,R0000000640,*C1CC1(*)C
239,R0000000641,*C1C(*)C1C
240,R0000000652,*C(*)*
241,R0000000653,*c1cc(*)cc(C)c1
242,R0000000658,*c1ccc(C2(c3ccc(*)cc3)CCc3ccccc32)cc1
243,R0000000662,*c1cc(*)c(*)c(*)c1*
244,R0000000674,*c1ccc(C2(C)CC(C)(C)c3ccc(*)cc32)cc1
245,R0000000683,*CCCC1(CCC*)c2ccccc2-c2ccccc21
246,R0000000690,*CC(C)CCC(C)C*
247,R0000000691,*CCC(C)C(C)CC*
248,R0000000692,*CCCC(C)(C)C*
249,R0000000694,*C1CC(*)CC(*)C1
250,R0000000698,*C1CC(*)(C)CC(C)(C)C1
251,R0000000700,*CCC(C)(C)CC(C)C*
252,R0000000701,*CCCC(CC*)C(C)C
253,R0000000702,*CCCC(C)(C)CCC*
254,R0000000703,*CCCC(C)(C)CCC(*)C
255,R0000000704,*CCC(C)CC(C)(C)C*
256,R0000000705,*CCCC(CC)CC*
257,R0000000712,*CC=*
258,R0000000713,*C1CC(*)C1(C)C
259,R0000000749,*C1C(*)C(*)C1*
260,R0000000757,*CCCC(*)CC*
261,R0000000760,*CCCCC(C)CC*
262,R0000000761,*c1ccc2c(c1)Cc1cc(*)ccc1-2
263,R0000000766,*C(*)CCCCC
264,R0000000767,*c1cccc(*)c1C
265,R0000000774,*c1cccc(C=*)c1
266,R0000000776,*C(C)(C)CCCCC(*)(C)C
267,R0000000779,*c1c(C)cc(C)c(*)c1C
268,R0000000792,*C(*)(C)CCC
269,R0000000793,*C(*)(C)CC(C)C
270,R0000000794,*C(*)(CCC)CCC
271,R0000000795,*C1(*)CCCC1
272,R0000000799,*C(*)C(CC)CC
273,R0000000800,*C(*)(CC)CC
274,R0000000801,*C(*)(*)CC
275,R0000000803,*C(*)(C)CCCC
276,R0000000805,*C(*)(C)CCCCCCC
277,R0000000859,*C=Cc1ccc(*)cc1
278,R0000000863,*c1ccc(C(=*)c2ccccc2)cc1
279,R0000000864,*c1cc(*)c(C)cc1C
280,R0000000866,*C1c2cccc3cccc(c23)C1*
281,R0000000867,*CCC(*)*
282,R0000000868,*C1CCCCCC1
283,R0000000869,*CCC(C)(C)C(*)(C)C
284,R0000000870,*C1CCC2C(*)CCC12
285,R0000000871,*C1CC2C3CC4C(C3*)C24C1
286,R0000000872,*C1C(*)C2CC1C1CCCC21
287,R0000000873,*C1CC2C3CCC(C3)C2C1*
288,R0000000874,*C1CC(*)C2CCCC12
289,R0000000875,*C12CC3CC(C1)CC(*)(C3)C2
290,R0000000876,*C1CC(*)C2C3CC(CC3C)C12
291,R0000000877,*CCCC(*)C
292,R0000000878,*CCCC(*)CC
293,R0000000879,*CCCCCC(*)C
294,R0000000880,*CCCCCC(*)CC
295,R0000000881,*C1C2CCC(C2)C1*
296,R0000000882,*C1C2CC(C)C(C2)C1*
297,R0000000883,*C12CC3CC(*)(C1)CC(*)(C3)C2
298,R0000000884,*C1CC2CC1C(*)C2*
299,R0000000885,*C1CC2CC1C1C(*)CC(*)C21
300,R0000000886,*C1CC(*)C2C3CCC(C3)C12
301,R0000000890,*c1ccc(C=C)cc1
302,R0000000893,*c1c2ccccc2cc2ccccc12
303,R0000000898,*c1ccc(C#C)cc1
304,R0000000899,*CCC#C
305,R0000000904,*CC(*)(*)*
306,R0000000914,*CCCCC(*)C(*)*
307,R0000000916,*CCCCCC(*)C(*)*
308,R0000000917,*CCCCCCC(*)C(*)*
309,R0000000918,*CCCCCCCC(*)C(*)*
310,R0000000919,*CCCCCCCCCC(*)C(*)*
311,R0000000920,*CCCCCCCCCCC(*)C(*)*
312,R0000000921,*CCCCCCCCCCCC(*)C(*)*
313,R0000000922,*CCCCCCCCCCCCC(*)C(*)*
314,R0000000926,*CCC(*)C(*)*
315,R0000000934,*CCC(*)(*)C
316,R0000000935,*c1ccc2c(c1)C(CCCCCC)(CCCCCC)c1ccccc1-2
317,R0000000936,*c1ccc2c(c1)C(CCCCCC)(CCCCCC)c1cc(*)ccc1-2
318,R0000000937,*C1CCC(C)CC1*
319,R0000000952,*C=C(*)c1cccc2ccccc12
320,R0000000956,*C=C(*)c1ccc(*)cc1
321,R0000000960,*C(=*)CC
322,R0000000971,*CCCCC(*)C*
323,R0000000974,*C#CC(=*)c1ccccc1
324,R0000000980,*C=CCC(*)C*
325,R0000000981,*C=CCC(*)(*)C*
326,R0000000988,*C=C(*)C*
327,R0000000989,*C=C(*)c1ccc(C#C)cc1
328,R0000000990,*C=C(*)c1cccc(C#C)c1
329,R0000000999,*C(CCC)(CCC)CCC
330,R0000001004,*C#CC(=*)CCCC*
