,corrected,RID,smiles
168,,R1965,*c1ccc2c(c1)C(=O)N(C(=*)C#N)C2=O
169,,R1966,*OC1=C(Cl)C(=O)N(*)C1=O
170,,R1973,*C=CC1CC(*)C2C(=O)N(*)C(=O)C12
171,,R1977,*N1C(=O)CC(C2CC3C(=O)N(*)C(=O)C3c3ccccc32)C1=O
172,,R1978,*N1C(=O)CC(C2C=C(C)C3C(=O)N(*)C(=O)C3C2)C1=O
173,,R1979,*N1C(=O)CC(C2Cc3ccccc3C3C(=O)N(*)C(=O)C32)C1=O
174,,R1980,*N1C(=O)c2cc3c(cc2C1=O)C(C(F)(F)F)(C(F)(F)F)c1cc2c(cc1O3)C(=O)N(*)C2=O
175,,R1983,*N1C(=O)CC2C(CC3C(=O)N(*)C(=O)C32)C1=O
176,,R1984,*N1C(=O)N(*)C(C)(C)C1=O
177,,R1985,*N1C(=O)CC(=O)N(*)C1=S
178,,R1989,*ON1C(=O)c2ccc(*)cc2C1=O
179,,R1991,*N1C(=O)C(=*)C(C)=C(C#N)C1=O
180,,R1994,*N1C(=O)C2CCC(C3CCC4C(=O)N(*)C(=O)C4C3)CC2C1=O
181,,R1995,*N1C(=O)CC(C2CC3C(=O)N(*)C(=O)C3c3cc(C)ccc32)C1=O
182,,R1997,*C1=C(c2ccc(*)cc2)C(=O)N(*)C1=O
183,,R1999,*C1C2C(=O)N(*)C(=O)C2ON1C
184,,R2000,*c1cc2c(cc1*)C(=O)N(*)C2=O
185,,R2002,*N1C(=O)N(*)C(*)(C)C1=O
186,,R2003,*N1C(=O)N(*)C(*)(*)C1=O
187,,R2004,*N1C(=O)N(*)C2(CCCCC2)C1=O
188,,R2005,*N1C(=O)N(*)C2(CCCC2)C1=O
189,,R2006,*N1C(=O)C2CCC3C(=O)N(*)C(=O)C3C2C1=O
190,,R2009,*C(=O)C1=C(C)N(*)C(=O)N(*)C1*
191,,R2013,*c1ccc(*)c2c1C(=O)N(*)C2=O
192,,R2015,*N1CC(=O)N(*)C1=O
193,,R2016,*c1ccc2c(c1O)C(=O)N(*)C2=O
194,,R2017,*N1C(=O)C2C3C=CC(C2C1=O)C1C(=O)N(*)C(=O)C31
195,,R2020,*C1C(=O)N(*)C(=O)C1C
196,,R2021,*N1C(=O)CC(*)(C)C1=O
198,,R2023,*C1CC(*)C2C(=O)N(*)C(=O)C12
199,,R2024,*c1ccc2c3c(cccc13)C(=O)N(*)C2=O
200,,R2025,*C1C(=O)N(Nc2ccccc2)C(=O)C1*
201,,R2027,*c1cccc2c1C(=O)N(N1C(=O)c3cccc(*)c3C1=O)C2=O
