,correction,RID,smiles
294,,R1432,*c1ccc(S(=O)(=O)c2ccc(*)c3ccccc23)cc1
295,,R1436,*c1ccc(S(=O)(=O)c2cccc3c(S(=O)(=O)c4ccc(*)cc4)cccc23)cc1
296,,R1437,*c1ccc(S(=O)(=O)c2ccc3cc(S(=O)(=O)c4ccc(*)cc4)ccc3c2)cc1
297,,R1444,*c1ccc(*)c(S(=O)(=O)c2ccccc2)c1
317,,R1545,*C1=CC=C(c2sc(*)c3c2OCCO3)S1(=O)=O
318,,R1546,*C1=C(CCCCCC)C(CCCCCC)=C(c2sc(*)c3c2OCCO3)S1(=O)=O
319,,R1547,*C1=C(CCCCCCCCCCCC)C(CCCCCCCCCCCC)=C(c2sc(*)c3c2OCCO3)S1(=O)=O
320,,R1548,*C1=C2OCCOC2=C(c2ccc(*)s2)S1(=O)=O
321,,R1549,*C1=C2OCCOC2=C(c2sc(*)c3c2OCCO3)S1(=O)=O
324,,R1559,*c1ccc(S(=O)(=O)c2ccc(*)c(Br)c2)cc1Br
325,,R1576,*c1c(F)c(F)c(S(=O)(=O)c2c(F)c(F)c(*)c(F)c2F)c(F)c1F
326,,R1579,*c1nc2ccc(S(=O)(=O)c3ccc4nc(*)[nH]c4c3)cc2[nH]1
327,,R1580,*c1nc2ccc(S(=O)(=O)c3ccc4nc(*)n(*)c4c3)cc2n1*
330,,R1594,*c1ccc(S(=O)(=O)c2ccc(*)cc2*)c(*)c1
332,,R1605,*c1nc2cc(S(=O)(=O)c3ccc4oc(*)nc4c3)ccc2o1
340,,R1690,*=C(C#N)S(=O)(=O)C(=*)C#N
352,,R1763,*CCCS(=O)(=O)CCCCS(=O)(=O)CCC*
353,,R1764,*CCCS(=O)(=O)CCCS(=O)(=O)CCC*
355,,R1769,*CCCCCCS(=O)(=O)c1ccc(N=Nc2ccc(*)cc2)cc1
356,,R1770,*CCCS(=O)(=O)c1ccc(N=Nc2ccc(*)cc2)cc1
362,,R1801,*c1ccc(S(=O)(=O)CCCCCCCC)cc1
385,,R1893,*c1nn(*)c(=O)c2cc(S(=O)(=O)c3ccc4c(*)nn(*)c(=O)c4c3)ccc12
397,,R1970,*c1ccc(S(=O)(=O)c2ccc(S(=O)(=O)c3ccc(*)cc3)cc2)cc1
398,,R1971,*c1ccc(S(=O)(=O)c2ccc(S(=O)(=O)c3ccc(S(=O)(=O)c4ccc(*)cc4)cc3)cc2)cc1
399,,R1975,*CCCCCCS(=O)(=O)c1ccc(C=*)cc1
407,,R2008,*c1ccc(S(=O)(=O)c2ccc(C)cc2)cc1
437,,R2135,*c1ccc(C#Cc2ccc(S(*)(=O)=O)cc2)cc1
447,,R2184,*S(=O)(=O)C(=*)C#N
448,,R2209,*C=NN(CCCC)c1ccc(S(=O)(=O)c2ccc(N(CCCC)N=Cc3ccc4c(c3)c3cc(*)ccc3n4*)cc2)cc1
455,,R2262,*CC(CC)S(*)(=O)=O
456,,R2263,*CC(CCCC)S(*)(=O)=O
457,,R2264,*OS(=O)(=O)c1cccc(P(C)(=O)c2cccc(S(=O)(=O)O*)c2)c1
459,,R2266,*OS(=O)(=O)c1cc(C)c(*)c(C)c1
460,,R2267,*OS(=O)(=O)c1ccc(S(=O)(=O)c2ccc(S(=O)(=O)O*)cc2)cc1
461,,R2268,*c1cccc2c(S(*)(=O)=O)cccc12
462,,R2269,*c1ccc2ccc(S(*)(=O)=O)cc2c1
463,,R2270,*C1CCC(S(*)(=O)=O)CC1
464,,R2271,*OS(=O)(=O)c1ccc(C)c(S(=O)(=O)O*)c1
465,,R2272,*S(=O)(=O)C(C=*)CC
466,,R2273,*S(=O)(=O)C(C)C(=*)C
467,,R2274,*S(=O)(=O)C(C)C=*
468,,R2276,*S(=O)(=O)CC(=*)C
469,,R2277,*S(=O)(=O)CC=*
470,,R2278,*CC(CC(C)C)S(*)(=O)=O
471,,R2279,*C1C2CCC(C2)C1S(*)(=O)=O
472,,R2280,*c1cc(C)c(S(*)(=O)=O)c(C)c1
473,,R2281,*CC(C*)S(*)(=O)=O
474,,R2282,*C1=C(CCCCCC)C(CCCCCC)=C(c2ccc3c(c2)C(CCCCCCCC)(CCCCCCCC)c2cc(*)ccc2-3)S1(=O)=O
475,,R2283,*c1ccc(*)c(S(*)(=O)=O)c1
476,,R2284,*CCCCCCCCCCS(=O)(=O)O
477,,R2287,*C1C=CC(S(*)(=O)=O)C1
478,,R2288,*C1C=CC(S(*)(=O)=O)CC1
480,,R2333,*c1cc(N=Nc2ccc(S(=O)(=O)O)cc2)cc(*)c1O
524,,R2566,*c1cc(C)c2c(c1)S(=O)(=O)c1cc(*)c(C)cc1-2
528,,R2618,*c1cc2c(cc1*)C1(CC2(C)C)CC(C)(C)c2cc3c(cc21)Oc1cc2c(cc1O3)S(=O)(=O)c1cc3c(cc1S2(=O)=O)Oc1cc2c(*)cccc2cc1O3
529,,R2620,*c1cc2c(cc1*)C1(CC2(C)C)CC(C)(C)c2cc3oc4c(S(=O)(=O)CC)c5oc6cc7c(cc6oc5c(S(=O)(=O)CC)c4oc3cc21)C1(CC(C)(C)c2cc3c(cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O3)CC7(C)C
530,,R2625,*c1cc2c(cc1*)C1(CC2(C)C)CC(C)(C)c2cc3c(cc21)Oc1c(*)c(*)c(*)c(S(=O)(=O)c2ccccc2)c1O3
531,,R2627,*c1cc2c(cc1*)C1(CC2(C)C)CC(C)(C)c2cc3c(cc21)Oc1cc2c(cc1O3)S(=O)(=O)c1cc3c(cc1S2(=O)=O)Oc1cc2c(cc1O3)C(C)(C)CC21CC(C)(C)c2cc3c(cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O3
535,,R2656,*OS(=O)(=O)c1ccc(F)cc1
536,,R2662,*c1ccc(S(=O)(=O)c2ccc(*)cc2[Si](C)(C)C)c([Si](C)(C)C)c1
549,,R2984,*c1ccc(S(=O)(=O)c2ccc3ccc(*)cc3c2)cc1
553,,R2993,*CC(C)(C)CS(=O)(=O)CC(C)(C)CC(*)=O
561,,R3077,*O[SH](=O)=O
562,,R3140,*c1ccc(S(=O)(=O)c2ccc(*)cc2[N-][N+]#N)cc1
563,,R3142,*c1ccc(S(=O)(=O)c2ccc(*)cc2[N-][N+]#N)c([N-][N+]#N)c1
564,,R3143,*c1ccc(S(=O)(=O)c2ccc(*)c([N+](=O)[O-])c2)cc1[N+](=O)[O-]
565,,R3171,*c1ccc([Si](*)(C)OS(=O)(=O)C(F)(F)F)s1
566,,R3172,*c1ccc([Si](C)(C)c2ccc([Si](*)(C)OS(=O)(=O)C(F)(F)F)s2)s1
567,,R3181,*c1ccc(N=Nc2ccc(S(=O)(=O)c3ccc(N=Nc4ccc(*)cc4)cc3[N+](=O)[O-])c([N+](=O)[O-])c2)cc1
568,,R3237,*CS(=O)(=O)C1CC(*)C[N+](C)(C)C1
569,,R3243,*c1cc[n+](OS(=O)(=O)c2cc(*)c(*)cc2*)cc1
572,,R3313,*c1ccc([Si](*)(C)OS(=O)(=O)C(F)(F)F)cc1
655,,R3143,*c1ccc(S(=O)(=O)c2ccc(*)c([N+](=O)[O-])c2)cc1[N+](=O)[O-]
658,,R3181,*c1ccc(N=Nc2ccc(S(=O)(=O)c3ccc(N=Nc4ccc(*)cc4)cc3[N+](=O)[O-])c([N+](=O)[O-])c2)cc1
53,,,*c1ccc(S(*)(=O)=O)cc1S(=O)(=O)O
174,,,*c1ccc(S(=O)(=O)c2ccccc2)cc1
364,,,*S(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
53,,,*c1ccc(S(*)(=O)=O)cc1S(=O)(=O)O
174,,,*c1ccc(S(=O)(=O)c2ccccc2)cc1
364,,,*S(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
53,,,*c1ccc(S(*)(=O)=O)cc1S(=O)(=O)O
174,,,*c1ccc(S(=O)(=O)c2ccccc2)cc1
364,,,*S(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
53,,,*c1ccc(S(*)(=O)=O)cc1S(=O)(=O)O
174,,,*c1ccc(S(=O)(=O)c2ccccc2)cc1
