,Unnamed: 0,rid,smiles,category,p_score,graph,graph2
3576,9150,R1003600,*CC(*)c1ccc(C(O)C(F)(F)F)cc1,known,0.5673,"[(0, 1, {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'}), (1, 2, {'iclass': 'hydrocarbon', 'jclass': 'alcohol'})]","[('*CC(*)*', '*c1ccc(*)cc1', {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'}), ('*c1ccc(*)cc1', '*C(O)C(F)(F)F', {'iclass': 'hydrocarbon', 'jclass': 'alcohol'})]"
3577,9151,R1003601,*CC(*)c1ccc(C=C)cc1,known,0.6212,"[(0, 1, {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'})]","[('*CC(*)*', '*c1ccc(C=C)cc1', {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'})]"
3578,9152,R1003602,*CC(*)(C)c1ncncn1,known,0.4728,"[(0, 1, {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'})]","[('*CC(*)(*)C', '*c1ncncn1', {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'})]"
3579,9153,R1003603,*CC(*)c1cc(OC(C)CC)ccc1OC(C)CC,known,0.6575,"[(0, 1, {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'}), (1, 2, {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'}), (1, 4, {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'}), (2, 3, {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'}), (4, 5, {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'})]","[('*CC(*)*', '*c1ccc(*)c(*)c1', {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'}), ('*c1ccc(*)c(*)c1', '*O*', {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'}), ('*O*', '*C(C)CC', {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'})]"
3580,9154,R1003604,*CC(*)c1cc(O)ccc1O,known,0.6097,"[(0, 1, {'iclass': 'hydrocarbon', 'jclass': 'alcohol'})]","[('*CC(*)*', '*c1cc(O)ccc1O', {'iclass': 'hydrocarbon', 'jclass': 'alcohol'})]"
3581,9155,R1003605,*CC(*)c1cc(OC)ccc1OC,known,0.6894,"[(0, 1, {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'}), (1, 2, {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'}), (1, 3, {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'})]","[('*CC(*)*', '*c1ccc(*)c(*)c1', {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'}), ('*c1ccc(*)c(*)c1', '*OC', {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'})]"
3582,9156,R1003606,*CC(*)c1ccc(-c2c3ccccc3cc3ccccc23)cc1,known,0.5754,"[(0, 1, {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'}), (1, 2, {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'})]","[('*CC(*)*', '*c1ccc(*)cc1', {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'}), ('*c1ccc(*)cc1', '*c1c2ccccc2cc2ccccc12', {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'})]"
3583,9159,R1003607,*CC(*)c1ccc(C=O)cc1,known,0.6442,"[(0, 1, {'iclass': 'hydrocarbon', 'jclass': 'aldehyde'})]","[('*CC(*)*', '*c1ccc(C=O)cc1', {'iclass': 'hydrocarbon', 'jclass': 'aldehyde'})]"
3584,9160,R1003608,*CC(*)(C)c1ccc2ccccc2n1,known,0.5266,"[(0, 1, {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'})]","[('*CC(*)(*)C', '*c1ccc2ccccc2n1', {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'})]"
3585,9161,R1003609,*CC(*)c1cccc(OC(C)=O)c1,known,0.7075,"[(0, 1, {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'}), (1, 2, {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'}), (2, 3, {'iclass': 'heteroatomic', 'jclass': 'ketone'})]","[('*CC(*)*', '*c1cccc(*)c1', {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'}), ('*c1cccc(*)c1', '*O*', {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'}), ('*O*', '*C(C)=O', {'iclass': 'heteroatomic', 'jclass': 'ketone'})]"
