,Unnamed: 0,rid,smiles,category,p_score,graph,graph2
7590,15592,R1007629,*Oc1ccccc1C(=O)OC(=O)c1ccccc1OC(=O)c1ccc(C(*)=O)cc1,known,0.8465,"[(0, 1, {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'}), (1, 2, {'iclass': 'hydrocarbon', 'jclass': 'ketone'}), (2, 3, {'iclass': 'ketone', 'jclass': 'heteroatomic'}), (3, 4, {'iclass': 'heteroatomic', 'jclass': 'ketone'}), (4, 5, {'iclass': 'ketone', 'jclass': 'hydrocarbon'}), (5, 6, {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'}), (6, 7, {'iclass': 'heteroatomic', 'jclass': 'ketone'}), (7, 8, {'iclass': 'ketone', 'jclass': 'hydrocarbon'}), (8, 9, {'iclass': 'hydrocarbon', 'jclass': 'ketone'})]","[('*O*', '*c1ccccc1*', {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'}), ('*O*', '*C(*)=O', {'iclass': 'heteroatomic', 'jclass': 'ketone'}), ('*c1ccccc1*', '*C(*)=O', {'iclass': 'ketone', 'jclass': 'hydrocarbon'}), ('*C(*)=O', '*c1ccc(*)cc1', {'iclass': 'hydrocarbon', 'jclass': 'ketone'})]"
7591,15593,R1007630,*Oc1ccccc1C(=O)OC(=O)c1ccccc1OC(=O)c1cccc(C(*)=O)c1,known,0.8257,"[(0, 1, {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'}), (1, 2, {'iclass': 'hydrocarbon', 'jclass': 'ketone'}), (2, 3, {'iclass': 'ketone', 'jclass': 'heteroatomic'}), (3, 4, {'iclass': 'heteroatomic', 'jclass': 'ketone'}), (4, 5, {'iclass': 'ketone', 'jclass': 'hydrocarbon'}), (5, 6, {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'}), (6, 7, {'iclass': 'heteroatomic', 'jclass': 'ketone'}), (7, 8, {'iclass': 'ketone', 'jclass': 'hydrocarbon'}), (8, 9, {'iclass': 'hydrocarbon', 'jclass': 'ketone'})]","[('*O*', '*c1ccccc1*', {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'}), ('*O*', '*C(*)=O', {'iclass': 'heteroatomic', 'jclass': 'ketone'}), ('*c1ccccc1*', '*C(*)=O', {'iclass': 'ketone', 'jclass': 'hydrocarbon'}), ('*C(*)=O', '*c1cccc(*)c1', {'iclass': 'hydrocarbon', 'jclass': 'ketone'})]"
7592,15594,R1007631,*Oc1ccccc1C(=O)OC(=O)c1ccccc1OC(=O)C(C)C(C)C(*)=O,known,0.7062,"[(0, 1, {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'}), (1, 2, {'iclass': 'hydrocarbon', 'jclass': 'ketone'}), (2, 3, {'iclass': 'ketone', 'jclass': 'heteroatomic'}), (3, 4, {'iclass': 'heteroatomic', 'jclass': 'ketone'}), (4, 5, {'iclass': 'ketone', 'jclass': 'hydrocarbon'}), (5, 6, {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'}), (6, 7, {'iclass': 'heteroatomic', 'jclass': 'ketone'})]","[('*O*', '*c1ccccc1*', {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'}), ('*O*', '*C(*)=O', {'iclass': 'heteroatomic', 'jclass': 'ketone'}), ('*O*', '*C(=O)C(C)C(C)C(*)=O', {'iclass': 'heteroatomic', 'jclass': 'ketone'}), ('*c1ccccc1*', '*C(*)=O', {'iclass': 'ketone', 'jclass': 'hydrocarbon'})]"
7593,15595,R1007632,*Oc1ccccc1C(=O)OC(=O)c1ccccc1OC(=O)C(CC)C(CC)C(*)=O,known,0.7003,"[(0, 1, {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'}), (1, 2, {'iclass': 'hydrocarbon', 'jclass': 'ketone'}), (2, 3, {'iclass': 'ketone', 'jclass': 'heteroatomic'}), (3, 4, {'iclass': 'heteroatomic', 'jclass': 'ketone'}), (4, 5, {'iclass': 'ketone', 'jclass': 'hydrocarbon'}), (5, 6, {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'}), (6, 7, {'iclass': 'heteroatomic', 'jclass': 'ketone'})]","[('*O*', '*c1ccccc1*', {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'}), ('*O*', '*C(*)=O', {'iclass': 'heteroatomic', 'jclass': 'ketone'}), ('*O*', '*C(=O)C(CC)C(CC)C(*)=O', {'iclass': 'heteroatomic', 'jclass': 'ketone'}), ('*c1ccccc1*', '*C(*)=O', {'iclass': 'ketone', 'jclass': 'hydrocarbon'})]"
7594,15596,R1007633,*CCCCCCCCCOC(=O)C(O)C(O)C(=O)O*,known,0.4747,"[(0, 1, {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'}), (1, 2, {'iclass': 'heteroatomic', 'jclass': 'ketone'}), (2, 3, {'iclass': 'ketone', 'jclass': 'heteroatomic'})]","[('*CCCCCCCCC*', '*O*', {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'}), ('*O*', '*C(=O)C(O)C(O)C(*)=O', {'iclass': 'ketone', 'jclass': 'heteroatomic'})]"
7595,15600,R1007634,*CCCCCCCCCOC(=O)CCC(=O)O*,known,0.6151,"[(0, 1, {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'}), (1, 2, {'iclass': 'heteroatomic', 'jclass': 'ketone'}), (2, 3, {'iclass': 'ketone', 'jclass': 'heteroatomic'})]","[('*CCCCCCCCC*', '*O*', {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'}), ('*O*', '*C(=O)CCC(*)=O', {'iclass': 'ketone', 'jclass': 'heteroatomic'})]"
7596,15603,R1007635,*Oc1ccc(OC(=O)c2ccc(C(*)=O)cc2)cc1-c1cccc(C(F)(F)F)c1,known,0.8091,"[(0, 1, {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'}), (1, 2, {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'}), (1, 6, {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'}), (2, 3, {'iclass': 'heteroatomic', 'jclass': 'ketone'}), (6, 7, {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'}), (3, 4, {'iclass': 'ketone', 'jclass': 'hydrocarbon'}), (4, 5, {'iclass': 'hydrocarbon', 'jclass': 'ketone'})]","[('*O*', '*c1ccc(*)c(*)c1', {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'}), ('*O*', '*C(*)=O', {'iclass': 'heteroatomic', 'jclass': 'ketone'}), ('*c1ccc(*)c(*)c1', '*c1cccc(*)c1', {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'}), ('*c1cccc(*)c1', '*C(F)(F)F', {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'}), ('*C(*)=O', '*c1ccc(*)cc1', {'iclass': 'hydrocarbon', 'jclass': 'ketone'})]"
7597,15604,R1007636,*CCN(CCOC(=O)c1cc(OCc2cc(OCc3ccccc3)cc(OCc3ccccc3)c2)cc(C(=O)O*)c1)c1ccc(C=Cc2ccc(C=CC3=C(C#N)C(=C(C#N)C#N)OC3(c3ccccc3)C(F)(F)F)s2)cc1,known,0.619,"[(0, 1, {'iclass': 'hydrocarbon', 'jclass': 'amine'}), (1, 2, {'iclass': 'amine', 'jclass': 'hydrocarbon'}), (1, 17, {'iclass': 'amine', 'jclass': 'hydrocarbon'}), (2, 3, {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'}), (17, 18, {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'}), (3, 4, {'iclass': 'heteroatomic', 'jclass': 'ketone'}), (4, 5, {'iclass': 'ketone', 'jclass': 'hydrocarbon'}), (5, 6, {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'}), (5, 15, {'iclass': 'hydrocarbon', 'jclass': 'ketone'}), (6, 7, {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'}), (15, 16, {'iclass': 'ketone', 'jclass': 'heteroatomic'}), (7, 8, {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'}), (8, 9, {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'}), (8, 12, {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'}), (9, 10, {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'}), (12, 13, {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'}), (10, 11, {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'}), (13, 14, {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'}), (18, 19, {'iclass': 'heteroatomic', 'jclass': 'heteroatomic'}), (19, 20, {'iclass': 'heteroatomic', 'jclass': 'heteroatomic'}), (19, 21, {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'}), (19, 22, {'iclass': 'heteroatomic', 'jclass': 'heteroatomic'})]","[('*CC*', '*N(*)*', {'iclass': 'amine', 'jclass': 'hydrocarbon'}), ('*CC*', '*O*', {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'}), ('*N(*)*', '*c1ccc(C=*)cc1', {'iclass': 'amine', 'jclass': 'hydrocarbon'}), ('*c1ccc(C=*)cc1', '*=Cc1ccc(C=*)s1', {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'}), ('*O*', '*C(*)=O', {'iclass': 'ketone', 'jclass': 'heteroatomic'}), ('*O*', '*c1cc(*)cc(*)c1', {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'}), ('*O*', '*C*', {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'}), ('*C(*)=O', '*c1cc(*)cc(*)c1', {'iclass': 'hydrocarbon', 'jclass': 'ketone'}), ('*c1cc(*)cc(*)c1', '*C*', {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'}), ('*C*', '*c1ccccc1', {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'}), ('*c1ccccc1', '*C1(*)OC(=*)C(C#N)=C1C=*', {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'}), ('*=Cc1ccc(C=*)s1', '*C1(*)OC(=*)C(C#N)=C1C=*', {'iclass': 'heteroatomic', 'jclass': 'heteroatomic'}), ('*C1(*)OC(=*)C(C#N)=C1C=*', '*=C(C#N)C#N', {'iclass': 'heteroatomic', 'jclass': 'heteroatomic'}), ('*C1(*)OC(=*)C(C#N)=C1C=*', '*C(F)(F)F', {'iclass': 'heteroatomic', 'jclass': 'heteroatomic'})]"
7598,15605,R1007637,*CCN(CCOC(=O)c1cc(OCc2c(F)c(F)c(OC)c(F)c2F)cc(C(=O)O*)c1)c1ccc(C=Cc2ccc(C=CC3=C(C#N)C(=C(C#N)C#N)OC3(c3ccccc3)C(F)(F)F)s2)cc1,known,0.5873,"[(0, 1, {'iclass': 'hydrocarbon', 'jclass': 'amine'}), (1, 2, {'iclass': 'amine', 'jclass': 'hydrocarbon'}), (1, 12, {'iclass': 'amine', 'jclass': 'hydrocarbon'}), (2, 3, {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'}), (12, 13, {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'}), (3, 4, {'iclass': 'heteroatomic', 'jclass': 'ketone'}), (4, 5, {'iclass': 'ketone', 'jclass': 'hydrocarbon'}), (5, 6, {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'}), (5, 10, {'iclass': 'hydrocarbon', 'jclass': 'ketone'}), (6, 7, {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'}), (10, 11, {'iclass': 'ketone', 'jclass': 'heteroatomic'}), (7, 8, {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'}), (8, 9, {'iclass': 'heteroatomic', 'jclass': 'heteroatomic'}), (13, 14, {'iclass': 'heteroatomic', 'jclass': 'heteroatomic'}), (14, 15, {'iclass': 'heteroatomic', 'jclass': 'heteroatomic'}), (14, 16, {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'}), (14, 17, {'iclass': 'heteroatomic', 'jclass': 'heteroatomic'})]","[('*CC*', '*N(*)*', {'iclass': 'amine', 'jclass': 'hydrocarbon'}), ('*CC*', '*O*', {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'}), ('*N(*)*', '*c1ccc(C=*)cc1', {'iclass': 'amine', 'jclass': 'hydrocarbon'}), ('*c1ccc(C=*)cc1', '*=Cc1ccc(C=*)s1', {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'}), ('*O*', '*C(*)=O', {'iclass': 'ketone', 'jclass': 'heteroatomic'}), ('*O*', '*c1cc(*)cc(*)c1', {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'}), ('*O*', '*C*', {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'}), ('*C(*)=O', '*c1cc(*)cc(*)c1', {'iclass': 'hydrocarbon', 'jclass': 'ketone'}), ('*C*', '*c1c(F)c(F)c(*)c(F)c1F', {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'}), ('*c1c(F)c(F)c(*)c(F)c1F', '*OC', {'iclass': 'heteroatomic', 'jclass': 'heteroatomic'}), ('*=Cc1ccc(C=*)s1', '*C1(*)OC(=*)C(C#N)=C1C=*', {'iclass': 'heteroatomic', 'jclass': 'heteroatomic'}), ('*C1(*)OC(=*)C(C#N)=C1C=*', '*=C(C#N)C#N', {'iclass': 'heteroatomic', 'jclass': 'heteroatomic'}), ('*C1(*)OC(=*)C(C#N)=C1C=*', '*c1ccccc1', {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'}), ('*C1(*)OC(=*)C(C#N)=C1C=*', '*C(F)(F)F', {'iclass': 'heteroatomic', 'jclass': 'heteroatomic'})]"
7599,15606,R1007638,*CC(=O)NCCCCCCNC(=O)COC(=O)CCC(=O)O*,known,0.759,"[(0, 1, {'iclass': 'ketone', 'jclass': 'amine'}), (1, 2, {'iclass': 'amine', 'jclass': 'hydrocarbon'}), (2, 3, {'iclass': 'hydrocarbon', 'jclass': 'amine'}), (3, 4, {'iclass': 'amine', 'jclass': 'ketone'}), (4, 5, {'iclass': 'ketone', 'jclass': 'heteroatomic'}), (5, 6, {'iclass': 'heteroatomic', 'jclass': 'ketone'}), (6, 7, {'iclass': 'ketone', 'jclass': 'heteroatomic'})]","[('*CC(*)=O', '*N*', {'iclass': 'amine', 'jclass': 'ketone'}), ('*CC(*)=O', '*O*', {'iclass': 'ketone', 'jclass': 'heteroatomic'}), ('*N*', '*CCCCCC*', {'iclass': 'hydrocarbon', 'jclass': 'amine'}), ('*O*', '*C(=O)CCC(*)=O', {'iclass': 'ketone', 'jclass': 'heteroatomic'})]"
