,Unnamed: 0,rid,smiles,category,p_score,graph,graph2
12496,26749,R1012935,*CC(*)C(C(=O)OCCCCCCC)C(=O)OCCCCCCC,known,0.5503,"[(0, 1, {'iclass': 'ketone', 'jclass': 'heteroatomic'}), (0, 3, {'iclass': 'ketone', 'jclass': 'heteroatomic'}), (1, 2, {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'}), (3, 4, {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'})]","[('*CC(*)C(C(*)=O)C(*)=O', '*O*', {'iclass': 'ketone', 'jclass': 'heteroatomic'}), ('*O*', '*CCCCCCC', {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'})]"
12497,26750,R1012936,*CC(*)=C(C(=O)OC)C(=O)OC,known,0.4253,"[(0, 1, {'iclass': 'hydrocarbon', 'jclass': 'ketone'}), (1, 2, {'iclass': 'ketone', 'jclass': 'heteroatomic'}), (1, 3, {'iclass': 'ketone', 'jclass': 'heteroatomic'})]","[('*CC(*)=*', '*C(=O)C(=*)C(*)=O', {'iclass': 'hydrocarbon', 'jclass': 'ketone'}), ('*C(=O)C(=*)C(*)=O', '*OC', {'iclass': 'ketone', 'jclass': 'heteroatomic'})]"
12498,26751,R1012937,*C(Cl)C(*)C(=O)OC,known,0.6102,"[(0, 1, {'iclass': 'ketone', 'jclass': 'heteroatomic'})]","[('*C(=O)C(*)C(*)Cl', '*OC', {'iclass': 'ketone', 'jclass': 'heteroatomic'})]"
12499,26752,R1012938,*C(F)C(*)(C)C(=O)OC,known,0.5728,"[(0, 1, {'iclass': 'ketone', 'jclass': 'heteroatomic'})]","[('*C(=O)C(*)(C)C(*)F', '*OC', {'iclass': 'ketone', 'jclass': 'heteroatomic'})]"
12500,26753,R1012939,*CCC(*)=C,known,0.8089,[],[]
12501,26755,R1012940,*CCC(C)C(*)C(=O)OC,known,0.5928,"[(0, 1, {'iclass': 'ketone', 'jclass': 'heteroatomic'})]","[('*CCC(C)C(*)C(*)=O', '*OC', {'iclass': 'ketone', 'jclass': 'heteroatomic'})]"
12502,26756,R1012941,*C(C)C(*)c1ccccc1OC(=O)c1ccccc1,known,0.7106,"[(0, 1, {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'}), (1, 2, {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'}), (2, 3, {'iclass': 'heteroatomic', 'jclass': 'ketone'}), (3, 4, {'iclass': 'ketone', 'jclass': 'hydrocarbon'})]","[('*C(*)C(*)C', '*c1ccccc1*', {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'}), ('*c1ccccc1*', '*O*', {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'}), ('*O*', '*C(*)=O', {'iclass': 'heteroatomic', 'jclass': 'ketone'}), ('*C(*)=O', '*c1ccccc1', {'iclass': 'ketone', 'jclass': 'hydrocarbon'})]"
12503,26757,R1012942,*CC(*)c1ccc(COCC)cc1,known,0.8009,"[(0, 1, {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'}), (1, 2, {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'}), (2, 3, {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'}), (3, 4, {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'})]","[('*CC(*)*', '*c1ccc(*)cc1', {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'}), ('*c1ccc(*)cc1', '*C*', {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'}), ('*C*', '*O*', {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'}), ('*O*', '*CC', {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'})]"
12504,26758,R1012943,*C(Cc1ccc(C#N)cc1)C(*)c1ccccc1,known,0.7074,"[(0, 1, {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'}), (0, 2, {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'})]","[('*CC(*)C(*)*', '*c1ccc(C#N)cc1', {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'}), ('*CC(*)C(*)*', '*c1ccccc1', {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'})]"
12505,26759,R1012944,*C(c1ccccc1)C(*)c1ccc(-c2ccc(C#N)cc2)cc1,known,0.586,"[(0, 1, {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'}), (0, 2, {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'}), (2, 3, {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'})]","[('*C(*)C(*)*', '*c1ccccc1', {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'}), ('*C(*)C(*)*', '*c1ccc(*)cc1', {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'}), ('*c1ccc(*)cc1', '*c1ccc(C#N)cc1', {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'})]"
12506,26760,R1012945,*CC(*)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC(F)(F)F,known,0.5272,"[(0, 1, {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'}), (1, 2, {'iclass': 'heteroatomic', 'jclass': 'heteroatomic'})]","[('*CC(*)*', '*O*', {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'}), ('*O*', '*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC(F)(F)F', {'iclass': 'heteroatomic', 'jclass': 'heteroatomic'})]"
12507,26761,R1012946,*C(F)(F)C(*)(F)OCC(F)(F)F,known,0.4783,"[(0, 1, {'iclass': 'heteroatomic', 'jclass': 'heteroatomic'}), (1, 2, {'iclass': 'heteroatomic', 'jclass': 'heteroatomic'})]","[('*C(*)(F)C(*)(F)F', '*O*', {'iclass': 'heteroatomic', 'jclass': 'heteroatomic'}), ('*O*', '*CC(F)(F)F', {'iclass': 'heteroatomic', 'jclass': 'heteroatomic'})]"
12508,26762,R1012947,*CC(*)(C#N)OC(C)=O,known,0.5029,"[(0, 1, {'iclass': 'heteroatomic', 'jclass': 'heteroatomic'}), (1, 2, {'iclass': 'heteroatomic', 'jclass': 'ketone'})]","[('*CC(*)(*)C#N', '*O*', {'iclass': 'heteroatomic', 'jclass': 'heteroatomic'}), ('*O*', '*C(C)=O', {'iclass': 'heteroatomic', 'jclass': 'ketone'})]"
12509,26763,R1012948,*CC(*)O[Cl+2]([O-])[O-],known,0.3975,"[(0, 1, {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'})]","[('*CC(*)*', '*O[Cl+2]([O-])[O-]', {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'})]"
12510,26764,R1012949,*CC(*)C1CC1(C(=O)OC12CC3CC(CC(C3)C1)C2)C(=O)OC12CC3CC(CC(C3)C1)C2,known,0.5317,"[(0, 1, {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'}), (1, 2, {'iclass': 'hydrocarbon', 'jclass': 'ketone'}), (1, 5, {'iclass': 'hydrocarbon', 'jclass': 'ketone'}), (2, 3, {'iclass': 'ketone', 'jclass': 'heteroatomic'}), (5, 6, {'iclass': 'ketone', 'jclass': 'heteroatomic'}), (3, 4, {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'}), (6, 7, {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'})]","[('*CC(*)*', '*C1CC1(*)*', {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'}), ('*C1CC1(*)*', '*C(*)=O', {'iclass': 'hydrocarbon', 'jclass': 'ketone'}), ('*C(*)=O', '*O*', {'iclass': 'ketone', 'jclass': 'heteroatomic'}), ('*O*', '*C12CC3CC(CC(C3)C1)C2', {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'})]"
12511,26765,R1012950,*CC(*)(N(C)C)[PH](=O)Oc1ccccc1,known,0.5376,"[(0, 1, {'iclass': 'phosphonyl_PO_PO2_PO3_PO4', 'jclass': 'amine'}), (0, 2, {'iclass': 'phosphonyl_PO_PO2_PO3_PO4', 'jclass': 'hydrocarbon'})]","[('*CC(*)(*)[PH](=O)O*', '*N(C)C', {'iclass': 'phosphonyl_PO_PO2_PO3_PO4', 'jclass': 'amine'}), ('*CC(*)(*)[PH](=O)O*', '*c1ccccc1', {'iclass': 'phosphonyl_PO_PO2_PO3_PO4', 'jclass': 'hydrocarbon'})]"
12512,26766,R1012951,*CC(*)C1OC(=O)NC1(C)C,known,0.5219,"[(0, 1, {'iclass': 'hydrocarbon', 'jclass': 'ester'})]","[('*CC(*)*', '*C1OC(=O)NC1(C)C', {'iclass': 'hydrocarbon', 'jclass': 'ester'})]"
12513,26767,R1012952,*CC(*)C1CC1(C(=O)Oc1ccccc1)C(=O)Oc1ccccc1,known,0.6739,"[(0, 1, {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'}), (1, 2, {'iclass': 'hydrocarbon', 'jclass': 'ketone'}), (1, 5, {'iclass': 'hydrocarbon', 'jclass': 'ketone'}), (2, 3, {'iclass': 'ketone', 'jclass': 'heteroatomic'}), (5, 6, {'iclass': 'ketone', 'jclass': 'heteroatomic'}), (3, 4, {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'}), (6, 7, {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'})]","[('*CC(*)*', '*C1CC1(*)*', {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'}), ('*C1CC1(*)*', '*C(*)=O', {'iclass': 'hydrocarbon', 'jclass': 'ketone'}), ('*C(*)=O', '*O*', {'iclass': 'ketone', 'jclass': 'heteroatomic'}), ('*O*', '*c1ccccc1', {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'})]"
