,Unnamed: 0,rid,smiles,category,p_score,graph,graph2
12050,26178,R1012489,*=Nc1ccc(Cc2ccc(NC(=*)NCc3ccccc3)cc2)cc1,known,0.6315,"[(0, 1, {'iclass': 'amine', 'jclass': 'hydrocarbon'}), (1, 2, {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'}), (2, 3, {'iclass': 'hydrocarbon', 'jclass': 'amine'}), (3, 4, {'iclass': 'amine', 'jclass': 'hydrocarbon'}), (4, 5, {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'})]","[('*c1ccc(N=*)cc1', '*C*', {'iclass': 'amine', 'jclass': 'hydrocarbon'}), ('*C*', '*c1ccc(*)cc1', {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'}), ('*C*', '*NC(=*)N*', {'iclass': 'amine', 'jclass': 'hydrocarbon'}), ('*C*', '*c1ccccc1', {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'}), ('*c1ccc(*)cc1', '*NC(=*)N*', {'iclass': 'hydrocarbon', 'jclass': 'amine'})]"
12051,26179,R1012490,*=Nc1ccc(Cc2ccc(NC(=*)NCCO)cc2)cc1,known,0.5762,"[(0, 1, {'iclass': 'amine', 'jclass': 'hydrocarbon'}), (1, 2, {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'}), (2, 3, {'iclass': 'hydrocarbon', 'jclass': 'amine'}), (3, 4, {'iclass': 'amine', 'jclass': 'alcohol'})]","[('*c1ccc(N=*)cc1', '*C*', {'iclass': 'amine', 'jclass': 'hydrocarbon'}), ('*C*', '*c1ccc(*)cc1', {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'}), ('*c1ccc(*)cc1', '*NC(=*)N*', {'iclass': 'hydrocarbon', 'jclass': 'amine'}), ('*NC(=*)N*', '*CCO', {'iclass': 'amine', 'jclass': 'alcohol'})]"
12052,26180,R1012491,*=Nc1ccc(Cc2ccc(NC(=*)Nc3ccc(C(=O)OC)cc3)cc2)cc1,known,0.6859,"[(0, 1, {'iclass': 'amine', 'jclass': 'hydrocarbon'}), (1, 2, {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'}), (2, 3, {'iclass': 'hydrocarbon', 'jclass': 'amine'}), (3, 4, {'iclass': 'amine', 'jclass': 'hydrocarbon'}), (4, 5, {'iclass': 'hydrocarbon', 'jclass': 'ketone'}), (5, 6, {'iclass': 'ketone', 'jclass': 'heteroatomic'})]","[('*c1ccc(N=*)cc1', '*C*', {'iclass': 'amine', 'jclass': 'hydrocarbon'}), ('*C*', '*c1ccc(*)cc1', {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'}), ('*c1ccc(*)cc1', '*NC(=*)N*', {'iclass': 'amine', 'jclass': 'hydrocarbon'}), ('*c1ccc(*)cc1', '*C(*)=O', {'iclass': 'hydrocarbon', 'jclass': 'ketone'}), ('*C(*)=O', '*OC', {'iclass': 'ketone', 'jclass': 'heteroatomic'})]"
12053,26181,R1012492,*N1[Si](C)(C)N[Si](C)(C)N([Si](*)(C)C)[Si]1(C)C,known,0.4942,[],[]
12054,26182,R1012493,*=Cc1cc(OCCCCCCCC)c(C=Nc2ccc(N=*)cc2)cc1OCCCCCCCC,known,0.6565,"[(0, 1, {'iclass': 'amine', 'jclass': 'heteroatomic'}), (0, 3, {'iclass': 'amine', 'jclass': 'heteroatomic'}), (1, 2, {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'}), (3, 4, {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'})]","[('*c1cc(C=Nc2ccc(N=*)cc2)c(*)cc1C=*', '*O*', {'iclass': 'amine', 'jclass': 'heteroatomic'}), ('*O*', '*CCCCCCCC', {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'})]"
12055,26183,R1012494,*=Cc1cc(OCCCCCCCCCCCC)c(C=Nc2ccc(N=*)cc2)cc1OCCCCCCCCCCCC,known,0.4598,"[(0, 1, {'iclass': 'amine', 'jclass': 'heteroatomic'}), (0, 3, {'iclass': 'amine', 'jclass': 'heteroatomic'}), (1, 2, {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'}), (3, 4, {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'})]","[('*c1cc(C=Nc2ccc(N=*)cc2)c(*)cc1C=*', '*O*', {'iclass': 'amine', 'jclass': 'heteroatomic'}), ('*O*', '*CCCCCCCCCCCC', {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'})]"
12056,26184,R1012495,*=Cc1cc(OCCCCCCCCCCCCCC)c(C=Nc2ccc(N=*)cc2)cc1OCCCCCCCCCCCCCC,known,0.458,"[(0, 1, {'iclass': 'amine', 'jclass': 'heteroatomic'}), (0, 3, {'iclass': 'amine', 'jclass': 'heteroatomic'}), (1, 2, {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'}), (3, 4, {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'})]","[('*c1cc(C=Nc2ccc(N=*)cc2)c(*)cc1C=*', '*O*', {'iclass': 'amine', 'jclass': 'heteroatomic'}), ('*O*', '*CCCCCCCCCCCCCC', {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'})]"
12057,26185,R1012496,*=Cc1cc(OCCCCCCCCCCCCCCCC)c(C=Nc2ccc(N=*)cc2)cc1OCCCCCCCCCCCCCCCC,known,0.4557,"[(0, 1, {'iclass': 'amine', 'jclass': 'heteroatomic'}), (0, 3, {'iclass': 'amine', 'jclass': 'heteroatomic'}), (1, 2, {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'}), (3, 4, {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'})]","[('*c1cc(C=Nc2ccc(N=*)cc2)c(*)cc1C=*', '*O*', {'iclass': 'amine', 'jclass': 'heteroatomic'}), ('*O*', '*CCCCCCCCCCCCCCCC', {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'})]"
12058,26186,R1012497,*=Cc1cc(OCCCCCCCCCCCCCCCCCC)c(C=Nc2ccc(N=*)cc2)cc1OCCCCCCCCCCCCCCCCCC,known,0.4531,"[(0, 1, {'iclass': 'amine', 'jclass': 'heteroatomic'}), (0, 3, {'iclass': 'amine', 'jclass': 'heteroatomic'}), (1, 2, {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'}), (3, 4, {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'})]","[('*c1cc(C=Nc2ccc(N=*)cc2)c(*)cc1C=*', '*O*', {'iclass': 'amine', 'jclass': 'heteroatomic'}), ('*O*', '*CCCCCCCCCCCCCCCCCC', {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'})]"
12059,26187,R1012498,*=Cc1cc(OCCCCCCCC)c(C=Nc2ccc(-c3ccc(N=*)cc3)cc2)cc1OCCCCCCCC,known,0.6241,"[(0, 1, {'iclass': 'amine', 'jclass': 'heteroatomic'}), (0, 3, {'iclass': 'amine', 'jclass': 'amine'}), (0, 4, {'iclass': 'amine', 'jclass': 'heteroatomic'}), (1, 2, {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'}), (4, 5, {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'})]","[('*c1ccc(N=Cc2cc(*)c(C=*)cc2*)cc1', '*O*', {'iclass': 'amine', 'jclass': 'heteroatomic'}), ('*c1ccc(N=Cc2cc(*)c(C=*)cc2*)cc1', '*c1ccc(N=*)cc1', {'iclass': 'amine', 'jclass': 'amine'}), ('*O*', '*CCCCCCCC', {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'})]"
