,Unnamed: 0,rid,smiles,category,p_score,graph,graph2
10266,20218,R1010321,*CCN(*)C(=O)CCCOc1ccc(SC)cc1,known,0.69,"[(0, 1, {'iclass': 'hydrocarbon', 'jclass': 'amine'}), (1, 2, {'iclass': 'amine', 'jclass': 'ketone'}), (2, 3, {'iclass': 'ketone', 'jclass': 'heteroatomic'}), (3, 4, {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'}), (4, 5, {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'})]","[('*CC*', '*N(*)*', {'iclass': 'hydrocarbon', 'jclass': 'amine'}), ('*N(*)*', '*CCCC(*)=O', {'iclass': 'amine', 'jclass': 'ketone'}), ('*CCCC(*)=O', '*O*', {'iclass': 'ketone', 'jclass': 'heteroatomic'}), ('*O*', '*c1ccc(*)cc1', {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'}), ('*c1ccc(*)cc1', '*SC', {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'})]"
10267,20219,R1010322,*CCCN(*)C=O,known,0.5532,"[(0, 1, {'iclass': 'hydrocarbon', 'jclass': 'amide'})]","[('*CCC*', '*N(*)C=O', {'iclass': 'hydrocarbon', 'jclass': 'amide'})]"
10268,20220,R1010323,*N=P(*)(Oc1cccc(Cl)c1)Oc1cccc(Cl)c1,known,0.3809,"[(0, 1, {'iclass': 'PN', 'jclass': 'heteroatomic'}), (0, 2, {'iclass': 'PN', 'jclass': 'heteroatomic'})]","[('*N=P(*)(O*)O*', '*c1cccc(Cl)c1', {'iclass': 'PN', 'jclass': 'heteroatomic'})]"
10269,20224,R1010324,*N=P(*)(Oc1ccc(CC)cc1)Oc1ccc(CC)cc1,known,0.6016,"[(0, 1, {'iclass': 'PN', 'jclass': 'hydrocarbon'}), (0, 3, {'iclass': 'PN', 'jclass': 'hydrocarbon'}), (1, 2, {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'}), (3, 4, {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'})]","[('*N=P(*)(O*)O*', '*c1ccc(*)cc1', {'iclass': 'PN', 'jclass': 'hydrocarbon'}), ('*c1ccc(*)cc1', '*CC', {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'})]"
10270,20226,R1010325,*c1ccc(-c2ccc(-c3cc(-c4ccccc4)c4cc5c(-c6ccccc6)cc(*)nc5cc4n3)cc2)cc1,known,0.6201,"[(0, 1, {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'}), (1, 2, {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'}), (2, 3, {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'}), (2, 4, {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'})]","[('*c1ccc(*)cc1', '*c1ccc(*)cc1', {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'}), ('*c1ccc(*)cc1', '*c1cc(*)c2cc3c(*)cc(*)nc3cc2n1', {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'}), ('*c1cc(*)c2cc3c(*)cc(*)nc3cc2n1', '*c1ccccc1', {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'})]"
10271,20230,R1010326,*c1ccc(-c2ccc(-c3cc(-c4ccccc4)c4cc5nc(*)cc(-c6ccccc6)c5cc4n3)cc2)cc1,known,0.6202,"[(0, 1, {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'}), (1, 2, {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'}), (2, 3, {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'}), (2, 4, {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'})]","[('*c1ccc(*)cc1', '*c1ccc(*)cc1', {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'}), ('*c1ccc(*)cc1', '*c1cc(*)c2cc3nc(*)cc(*)c3cc2n1', {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'}), ('*c1cc(*)c2cc3nc(*)cc(*)c3cc2n1', '*c1ccccc1', {'iclass': 'heteroatomic', 'jclass': 'hydrocarbon'})]"
10272,20234,R1010327,*C=Cc1cccc(C=Cc2cc(*)ncn2)c1,known,0.4856,"[(0, 1, {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'})]","[('*C=Cc1cccc(C=*)c1', '*c1cc(C=*)ncn1', {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'})]"
10273,20235,R1010328,*C=Cc1ccc(C=Cc2cc(*)ncn2)cc1,known,0.5166,"[(0, 1, {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'})]","[('*C=Cc1ccc(C=*)cc1', '*c1cc(C=*)ncn1', {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'})]"
10274,20236,R1010329,*C=Cc1ccc(-c2ccc(C=Cc3cc(*)ncn3)cc2)cc1,known,0.4386,"[(0, 1, {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'}), (1, 2, {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'})]","[('*C=Cc1ccc(*)cc1', '*c1ccc(C=*)cc1', {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'}), ('*c1ccc(C=*)cc1', '*c1cc(C=*)ncn1', {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'})]"
10275,20237,R1010330,*C=Cc1ccc(Cc2ccc(C=Cc3cc(*)ncn3)cc2)cc1,known,0.4838,"[(0, 1, {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'}), (1, 2, {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'}), (2, 3, {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'})]","[('*C=Cc1ccc(*)cc1', '*C*', {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'}), ('*C*', '*c1ccc(C=*)cc1', {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'}), ('*c1ccc(C=*)cc1', '*c1cc(C=*)ncn1', {'iclass': 'hydrocarbon', 'jclass': 'heteroatomic'})]"
