,Unnamed: 0,Unnamed: 1,Unnamed: 2,RID,smiles,fragment_fp,fragment_fp2
0,214,,,R941,*c1c(F)c(F)c(P(=O)(O)O)c(F)c1F,01000010100000001000000000000111010101010001000110000000001101000001100000100100100100000001000001011101000110001000000010000000000011011000000001000000000100000111101001001011101010000000000010110000011001000000010100000010010010000010100000010011001000001000100100010000000001000101000000001010001110000010000000100000010000000110001001100000000010000000001000101000000000000000000001000011001000010001000001000011000000101110000000100011000000010000001010000001000100001111010001001100100101000000111000000011100000000000110000001110000011000100000001011110001000000000010000000001100100000010000001000001100000000101000000000100000010000000010010001010100100100001010000110000110000010000000100000001001000000010000000010000011000110000000000000000001100010000000000010001000000010000001010010000100100100000010001010000001101000010000110100001110100100001010000010000100010011000001000001010000001000110000101000001011000000001000000100100000000000010010100000000000111000000000010010101110011000000110000101100000001000110100000000000101001010000000000010000010000000000000000000000100111000001111100010000000000010000000001001000001000010000001000110011010110001101000010000010000001000000000001000010000000000000110010010000000001101101000101011000100000000000010010100000100000110001000110101000100100100010000010100100111010000100000110001000001000001001000000100010001000000001010010001000000000000010100011110000010000000011000110001010100101010100000000010000010000101100001010100001011010000001000000001010100100010100000000010100010000000000000000000000000010001010000010000100010000010000000001011010000000000001000000000000101001111100000000000011000100000000100000000000110100100000000000000100000000111000000000101100010000000001101101000100100000010010000000000000100010001000000100000001011000000000110000000000000010010110100000000001001000010110000000100010100000000101001100100100010110101011000110010010111001100001100000000000000000000000000000000110100101010000000100010000101100000001100000000000000011000010011001000000,"[1, 15, 1]"
1,233,,,R1063,*CC(*)P(=O)(O)O,00000000000001000000001000000000000001000100000000000000000000000000001000000000000000000000001000000000001000101000000000000000000001000000000000000010000000000000000000000000100000000000000000000000000000000000000000000000000000001000000100000000000100000100100000000000000000000000000000000000000000000000000000000100000010100001000000000000000000000000000000000000000000001000000000010000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000001000000000000000000000000000000000000000000001000000000000000000000000000000001000000000000000001000000000000000000000000000000000100000110000000000000000000000000000000100000000000000000000001000000000000000001000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000010000100000000000100000000100000000000000100000010000000000000000000000000100000000000000000000010000000000000000000000000000000000000000000000001000000100000000000010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000010000000000000000100000000000000000000000000100100000000000000000000000000000000000100000100000000000000000000000001000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000100000000000000000000000100000000000000000000001000000000000000000000000000000000100100100000000000000000000000000000000000000000000100010000000000000000000000000000000000000000000000000000000000000000000100000010000100000000000000000000000000000000000100000010000000000100000000000000000000000000001000000000000000000000000000000000000000000000000000000000101000000000000000000000000001000000000000000000100001000000000000010000001000000000000000010000000000000000000000000000010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000000000000000000000000000000000100000000000010000000000000,"[2, 8, 0]"
2,251,,,R1165,*NCP(=O)(O)O,00000000000000000000001000000000000001000100000000000000000000000000000000101000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000100000010000000000000000100000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000100010010000000000000010000000000001001000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000010000000000000000000000000000000000000000000000010000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000001000000000000000000001000000000000000000000001000000100000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000100000100000000000000000001000000000000000010000000000000000000001000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000001000010000000000000000001000000000001000000000000000000000000000000001,"[1, 7, 0]"
3,398,,,R1986,*c1cccc(P(=O)(O)O)c1,01000000000000000000000000000000011101000000000000000000000000000000000000000000000000000101000000000001000100000001000000000000000011001000000000000001000100000110001100001000000000000000000000110000000000000000000000010000010010100000000000000000001000000000000000010000000000000100000000001010000010000000000000000000000000000110000000000000000000000000001000101000000000000000000000000010000000010000000000000010000001001000000000000000000000000000000000000000000000000000010000000000100100000000010000000010000000000001100000000000000001001100000000000110000000010000000000000001000000010000000000000100000000000000000000000000000000000100010000000010000000100000011000111000110000010000000100000000000000000000000000010000000000100000000000000000010100000000000000010001000000010000001010000000000000100000000000000000000100000110000100100000100000000000010000000001100000011000000000000000000011000000000100000000010010010010000000000100000000000010010000000000000011000000000000000100010010000000000000001100000000000010000000000000001000000000000000010000010000000000000000000000000001000001110100000000000000000000000000001000001000000000000000110010010100001000000010000010000000000000000001000010000000100000100000000000100000110000000001010000000000001000010100001110000000010000000100100100000000000010000010000000010010010100000000000000001000000000000001000010001000000000110000000000000000000010100011100000100000000001000100000010100000001000000000000100000000000000000000010000100000000000000000000010000100010000000000010000000000000000000000000000000000000000000010000000010000010000000001010000000000000000001000000010000000110000000000000000000100000000100000000000000000000000000000100100000000000100000000101000000000000001000000000000000000000000001000000000100010000000000100000000010000000000110000000000000000000000000000000000000000010100000000000000000000000100000000000000000100000000000010010000000000000000000000000000001000000000000001000000100000010000000100000000101000000000101000000000000001000000000000000000,"[1, 11, 1]"
4,440,,,R2158,*C1CN(CP(=O)(O)O)CC1*,00000000100001001010001100010010000001000100000000000100000000000010000000100000100000000010000000000000000000101000100000000000000111001000000000000000100000000000001000001000100000100000000010000001001000000000000000001001000000010000000000010000010000000000000001001000001000100000000000100000000000000001000000000000000000001001000000000000100000000100100000010001000000000000010000000010100000000000010000001000000000000000000000000000100010000101000100000000000000000100000000000000000100000010000000000000000100000000000001000000000001001000000010000000100000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000010000010100000010000000000000000000000000001001000101001000000000000000001000000010000000010000000000000000000000101000000000011000010000000000000001000000010000000000000001001000000000000000001000000000000000000000000000110011010100000000110000000000001010000000100000010110000000001000000000000000000000000000000000010010100000000000001000001110001000010100000000000000000100000001000000000000000000000000100000000000000100000100000000000000000000001000000000000100010010000100000000000100000001000000000000000100100000000000110000100000000000000000000110000000000000000000001010000000000000000100010000000000000001000000001010100000100000000001011000010000000000000000000000001000010000000000100110000000010000000010000000000000000000000000000000001000000000000010000100000000000000100010000001000000000000000000000000000010000000000100000000000001000100000000000000000010001000000000000000000010000000000000000000001010000001000000110000100010000001000000000000000000100000000000000000000000000110001000000000110000010000100000010000000000110000000000100000000000000010000010100000000000001000000100000000100000000110000000000000011000000000011000000000001001000100000000010000010011000001000110000010000010000000000100010000001000000000000000000000000000000000000000001000000000000000000000000000000010000000000000000000100110000000000000000101000000000001000001000000100001010000001100001,"[2, 12, 1]"
5,441,,,R2159,*C1CN(C(P(=O)(O)O)P(=O)(O)O)CC1*,00000000100011001010001100010010000001000100001000010100000000000010010000100000100000010010000000000000000010101000100101001001000111001000000000000000100000001000001100001101100000100010000010000001001000001100000000001001000010010001000000010000010000000000010001001000001000100100000000110000000000000001001001010000000000001101000000000000100000000100100000010001000000000010011000000010100000000100010100001110001010000000000011001100100010000101000100000000000001000100000100000000000100000010001000000000000100000000000001000010000001001000000010000000100000000000000101000000010000000000000011000000000000000000000000000000000000000000001000000010000010100100010000000000000000000000000001001110111001000001000000001101000000010000000010000000000000000000000101000000000011010010000000000000001000000010000100000100001001000011000000010001000000000100000000000000000110011010100000000110000000100001010000000100000010110000000001000000000010000000000000000100000010010100000000000101001001110001010010100000000000000000100000011000000010010000000000000100000000000000100010100000000000000000000001000000000000100010010000100000000000101000001000000100100000100100000100100110000100000001001000000001110000000000000010000001010000000000000010100011000001000010001010000001110100000100000001001111000010000001000001000000000001000010000010000100110000000010000000010000100001000000001000010000000101000000000010010000100000000000000101010100001000000000000000001000000000010000100010100000000001001000110000100100000000010001010000000000100000010000001000000010000001010010001000000110001100010000001000011000100000000101000010000000100010000000110001000000000110000010001110000010000000010110000000000100000000000000010001010101000000010001000000100000010100000000110001000000000011001000000011000100000101001000100000000010000010011000101000110000010000010000001001100010010001000000000000000001000000000000000010000011000000010001000000000000001000010000000000001000000100110000001000000001101001000100001000101000000100001010000001100001,"[2, 16, 1]"
6,481,,,R2365,*C(F)(F)C(*)(F)C(F)(F)P(=O)(O)O,01001000100001000010011100000000011011010110110110010000100101010001001000001000010100010000011000010001000000101100001000000000100101100000000101010010000001010000000000100111000000000000110000001010000010011011000000000010001001011000001000000001000010000010100100000001011001001000100000100000000000000000101011110010001110000001010000000001010000010000100001100010000000000000001000010010010000110100010110000100100110100001000001000110010000100001000001010001101000000000000000000110000100010001101110000010000001011000001000101000010110101010101010000000101100000000010101001100000001101011001000001100001110000101101010001001110000000010010000000010011000110001110001000000001000011000000000100000001001000000000010011001000010101101111010001000011000010000000000000001000010101001000100110000101010000110000000000100001100000100010000010000010001110100001110011001010111000100000010000100100001101001000001001000011010011001101000000100110001100110000000000101001011000100001010001100000100110000000000000000100100000000110001001000011000010000010000000000100011000111000011000010110001100101100110011001000100001000000111100000001010010100001010000010000010010100000100000110000000100100000000010000100010000100000111010000000001000001011000010101000100010100010100010000000100001001010000000000010010001010010000000001100010111000010000001010000100001001100101000001000101010000000000010000000100010010110100000010000000010000010100000000011101100000000101010100000100010000100000000000000100000000000011100010100110010000010000000000000000010100000000000101000010011000000000000000001001100011001100001000111000010000001100000000001011100000111001010000100110000011111000101100100001000010000000000011001010000111001000000000001001000110010000001000010010000000101100000001100001100001000001000011000111000001110010010110000110010011101100001001101100011100000100000100101001011110000100101000000000000111110111100001010001000010000011000000000000000000000010010100010000101011000000101010110000000110010001011000000101000011000001100000,"[2, 14, 0]"
